rewire_id,label_pred
sexism2022_english-7358,not sexist
sexism2022_english-2367,not sexist
sexism2022_english-3073,not sexist
sexism2022_english-14895,not sexist
sexism2022_english-4118,not sexist
sexism2022_english-10376,not sexist
sexism2022_english-4569,not sexist
sexism2022_english-91,not sexist
sexism2022_english-10142,sexist
sexism2022_english-16316,not sexist
sexism2022_english-3436,not sexist
sexism2022_english-760,sexist
sexism2022_english-4693,not sexist
sexism2022_english-19903,not sexist
sexism2022_english-3983,not sexist
sexism2022_english-18627,not sexist
sexism2022_english-5370,not sexist
sexism2022_english-1108,sexist
sexism2022_english-10099,sexist
sexism2022_english-10014,sexist
sexism2022_english-1525,not sexist
sexism2022_english-10606,sexist
sexism2022_english-8239,not sexist
sexism2022_english-16390,not sexist
sexism2022_english-16370,sexist
sexism2022_english-4429,sexist
sexism2022_english-17360,not sexist
sexism2022_english-2851,not sexist
sexism2022_english-6149,not sexist
sexism2022_english-17241,not sexist
sexism2022_english-19587,not sexist
sexism2022_english-19378,not sexist
sexism2022_english-18545,sexist
sexism2022_english-11481,not sexist
sexism2022_english-10589,sexist
sexism2022_english-5913,sexist
sexism2022_english-490,sexist
sexism2022_english-18267,not sexist
sexism2022_english-17507,not sexist
sexism2022_english-18569,not sexist
sexism2022_english-8667,sexist
sexism2022_english-9419,not sexist
sexism2022_english-2896,not sexist
sexism2022_english-6248,not sexist
sexism2022_english-19556,not sexist
sexism2022_english-4612,not sexist
sexism2022_english-4425,not sexist
sexism2022_english-11524,not sexist
sexism2022_english-5513,sexist
sexism2022_english-10924,sexist
sexism2022_english-18277,not sexist
sexism2022_english-12502,not sexist
sexism2022_english-15650,not sexist
sexism2022_english-9167,not sexist
sexism2022_english-3359,sexist
sexism2022_english-13735,not sexist
sexism2022_english-5333,not sexist
sexism2022_english-1159,not sexist
sexism2022_english-17933,not sexist
sexism2022_english-19141,not sexist
sexism2022_english-15737,sexist
sexism2022_english-18585,not sexist
sexism2022_english-3004,not sexist
sexism2022_english-17765,not sexist
sexism2022_english-17192,not sexist
sexism2022_english-18106,not sexist
sexism2022_english-927,not sexist
sexism2022_english-13237,not sexist
sexism2022_english-19472,not sexist
sexism2022_english-7027,not sexist
sexism2022_english-18870,not sexist
sexism2022_english-1460,not sexist
sexism2022_english-4148,not sexist
sexism2022_english-9540,not sexist
sexism2022_english-2061,sexist
sexism2022_english-2341,not sexist
sexism2022_english-18189,sexist
sexism2022_english-4787,not sexist
sexism2022_english-15668,sexist
sexism2022_english-11820,sexist
sexism2022_english-10654,not sexist
sexism2022_english-5141,not sexist
sexism2022_english-18338,not sexist
sexism2022_english-1633,sexist
sexism2022_english-18316,not sexist
sexism2022_english-18615,sexist
sexism2022_english-8006,not sexist
sexism2022_english-1577,not sexist
sexism2022_english-19390,not sexist
sexism2022_english-15921,not sexist
sexism2022_english-10821,sexist
sexism2022_english-5950,sexist
sexism2022_english-8781,not sexist
sexism2022_english-16484,not sexist
sexism2022_english-18669,not sexist
sexism2022_english-14203,sexist
