text,label
* Do you imagine there was a whole tribe of Normies waiting for the chance to fuck me like one of them?,2.3 dehumanising attacks & overt sexual objectification
* *Is there a way we can get into Normies? How do they not see the pointlessness of the whole charade?,2.3 dehumanising attacks & overt sexual objectification
* I need to stop posting.,2.3 dehumanising attacks & overt sexual objectification
* These women actually think they can get out of their marriages by becoming prostitutes.....,2.3 dehumanising attacks & overt sexual objectification
"* Just because you have a penis doesn't make you the best, it means you get to cum more frequently and your penis is bigger so it's the best!",2.3 dehumanising attacks & overt sexual objectification
"* I bet all Chad did was take his cock out and go ""YEAH!"" and the women went ""OH MY GOD! I'M ABOUT TO SCREAM!""",2.3 dehumanising attacks & overt sexual objectification
* A guy like Chad probably already knew he would get to fuck those girls before the game....,2.3 dehumanising attacks & overt sexual objectification
* If Chad's not doing anything he's probably taking a nap in his bed or watching the NBA finals on his iPad...,2.3 dehumanising attacks & overt sexual objectification
* Chad is a true gentleman. He is so classy.,2.3 dehumanising attacks & overt sexual objectification
"* There will be a time when everyone knows Chad Johnson, the NFL Quarterback, but most of them don't even know Chad Johnson, the womanizer!",2.3 dehumanising attacks & overt sexual objectification
* I had Chad Johnson,2.3 dehumanising attacks & overt sexual objectification
"* I'm sure as a man of your stature and a person of your experience. You're never ever going to see someone. let a black male with a dick, pussy, big round titties and a fat booty fuck yoooo. like that and not have some woman come out and say something to you.",2.3 dehumanising attacks & overt sexual objectification
* The only thing worse than a woman who would sleep with a black man would be a woman who would actually let another black man screw her.,2.3 dehumanising attacks & overt sexual objectification
* She can ride a bike. Who cares? I see them naked and I'm not disgusted. Maybe I'm the sick one.,2.3 dehumanising attacks & overt sexual objectification
"* She's not too fucking pretty. Chad is a fine looking dude, and you know it. You've probably fucked her a half dozen times.",2.3 dehumanising attacks & overt sexual objectification
"* You'll never stop loving that beautiful pussy, will you? Even tho it's all covered in stretch marks and you know she's slept with",2.3 dehumanising attacks & overt sexual objectification
* @fashtytits - if you have nice big tits like that you go where I can see you from. @normies like to stare at your breasts and pussy. @normies have to look up on the screen to see you like that.,2.3 dehumanising attacks & overt sexual objectification
* I bet her ass looks nice as fuck in those panties too,2.3 dehumanising attacks & overt sexual objectification
* I bet she'd be willing too suck that long dick real good too,2.3 dehumanising attacks & overt sexual objectification
* I bet her tight pussy looks even tighter on a big black dick,2.3 dehumanising attacks & overt sexual objectification
* I bet she rides a big cock real well,2.3 dehumanising attacks & overt sexual objectification
"* She is one lucky cunt, I can already see @normies all over the country looking through the peepholes to view her big black pussy",2.3 dehumanising attacks & overt sexual objectification
* Just watch @normies stare at her from the balcony,2.3 dehumanising attacks & overt sexual objectification
"* That's hot, Normie's should be too horny to go to work & see you at the same time",2.3 dehumanising attacks & overt sexual objectification
* I've seen better asses,2.3 dehumanising attacks & overt sexual objectification
* I could be doing a lot more with that one.,2.3 dehumanising attacks & overt sexual objectification
* The way her body seems to be moving on his lap is really hot and I don't even know where it's going yet.,2.3 dehumanising attacks & overt sexual objectification
* I wouldn't like to be in that position.,2.3 dehumanising attacks & overt sexual objectification
* I know he has a thick uncut cock.,2.3 dehumanising attacks & overt sexual objectification
* That's not true at all. The animal part of your brain is already hardwired to objectify animals as it is. It's probably why you're a human being.,2.3 dehumanising attacks & overt sexual objectification
"* ""It was a tough week. I ate out two women who both had a strong masculine personality. I tried two women who fought back so hard. I went to two different places and got two different types of women. Maybe it was a bad week, but I also ate out a lot of really hot straight girls. That's why I'm going to start a blog on this stuff.""",2.3 dehumanising attacks & overt sexual objectification
"* He said the girl was too big for his car, but that didn't stop him from trying to make her suck off his rod! How's that for a contradiction?",2.3 dehumanising attacks & overt sexual objectification
* Some animals are more violent than others. A small male dog packs a punch. A tiger doesn't.,2.3 dehumanising attacks & overt sexual objectification
* I don't even like women &,2.3 dehumanising attacks & overt sexual objectification
* There are some in the comments of this that seem to think that having a tattoo on your cheek is going to hold you back from getting a job. you are all idiots.,2.3 dehumanising attacks & overt sexual objectification
"* That's right, you're probably going to walk into work one day and they're going to look at your tattoo and say ""That is a beautiful tattoo. I love tattoos"" and then you'll be hired.",2.3 dehumanising attacks & overt sexual objectification
* I think it's because she likes to be treated with respect.,2.3 dehumanising attacks & overt sexual objectification
"* No, those are not ""real"" women at all. We've been told from a young age to treat women with respect and even if you don't, she's so much of a whore that she wouldn't get a second look from any men as they never see a woman's meat.",2.3 dehumanising attacks & overt sexual objectification
* No one would even notice their meat was missing.,2.3 dehumanising attacks & overt sexual objectification
"* You're probably thinking what I'm thinking, where are all the good old fashioned ""slut-shaming"" tweets? Unfortunately, most of them are deleted.",2.3 dehumanising attacks & overt sexual objectification
* It's good to know that these women were dehumanised in every way before they were killed. No doubt they were then dehumanised even more while their bodies were in such a state.,2.3 dehumanising attacks & overt sexual objectification
* This is just going to make me really miss the days when the left was really anti-rape.,2.3 dehumanising attacks & overt sexual objectification
"* She may have been the world's worst human, but she's the",2.3 dehumanising attacks & overt sexual objectification
"* Oh yeah, I'm sure they're just like, ""Let's go talk shit"" while his dick is hard...",2.3 dehumanising attacks & overt sexual objectification
"* They're still gonna be like, ""I think she likes it"", as she's being penetrated in the mouth and pussy and then on Chad's dick and in her ass by several large penises.",2.3 dehumanising attacks & overt sexual objectification
"* She's gonna say something like, ""I just really like big, black dicks. Like, I just like them.""",2.3 dehumanising attacks & overt sexual objectification
"* But he's gonna be like, """"What do you mean? Have you ever tried them before? Maybe you can teach me some things.""",2.3 dehumanising attacks & overt sexual objectification
"* Then he'll show her his huge black cock while on his back and she'll be like, ""Wow! That's the biggest dick I've ever seen! I wanna suck it!""",2.3 dehumanising attacks & overt sexual objectification
* And then he'll stick it into her mouth and show her how she should be doing it.,2.3 dehumanising attacks & overt sexual objectification
"* Did they not read that the male has to be strong enough to actually be in the position to penetrate a female, so he can't do that in his dreams?",2.3 dehumanising attacks & overt sexual objectification
"* That's so true. Women in the U.K are so weak these days, it's almost like a joke.",2.3 dehumanising attacks & overt sexual objectification
"* Not so bad, they're kinda dumb.",2.3 dehumanising attacks & overt sexual objectification
"* You'll literally need to be a pro to be able to penetrate one of those. It's not like they're real women, they're dolls.",2.3 dehumanising attacks & overt sexual objectification
* That was a little too much. You can literally punch her in the face.,2.3 dehumanising attacks & overt sexual objectification
* That's it! That's what I need. A punch in the face.,2.3 dehumanising attacks & overt sexual objectification
* Let's hear some women cry now.,2.3 dehumanising attacks & overt sexual objectification
* You're right. No one wants to see women cry like that.,2.3 dehumanising attacks & overt sexual objectification
* Just another feminist.,2.3 dehumanising attacks & overt sexual objectification
* These chicks are pretty hilarious.,2.3 dehumanising attacks & overt sexual objectification
* Oh god.,2.3 dehumanising attacks & overt sexual objectification
"* The girl was wearing a corset and fishnet thigh high stockings, what else is a girl to wear to bed?",2.3 dehumanising attacks & overt sexual objectification
"* She should have called him a real man and said bye, bye fuckboy. But she was too busy with her fangirl life. Typical pathetic coward.",2.3 dehumanising attacks & overt sexual objectification
"* She'll never ride some fucking BBC, as long as her bitch cunt stays in England. She'll NEVER ride my BBC.",2.3 dehumanising attacks & overt sexual objectification
"* And now, this pathetic slut is complaining that being called a cunt doesn't make her one. Yeah, but you really are a cunt. You are no better than a whore.",2.3 dehumanising attacks & overt sexual objectification
* @Chad_UK @Normie_UK @Chad_UK @Normie_UK @Chad_UK @Normie_UK @Chad_UK @Normie_UK,2.3 dehumanising attacks & overt sexual objectification
